column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,0.795912875,-8.71E-02,0.579357648,-1.497952246,-0.335230829
"Sample1 Target2, e.g.: ",Colour,Circle,-0.339729543,0.671074071,0.740635712,1.411035143,0.940914975
"Sample2 Target1, e.g.: ",Shape,Red,-0.682331886,1.048854968,-6.30E-02,-0.779398291,0.239917799
"Sample2 Target2, e.g.: ",Shape,Circle,-0.238943444,0.787925834,0.369851637,-0.438024074,6.88E-02
,,,,,,,
Dscores for Even trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,0.150060607,0.999380966,0.510193359,0.380308568,0.629960964
"Sample1 Target2, e.g.: ",Colour,Circle,-0.238140461,0.7561001,1.008937017,-0.756135551,0.336300522
"Sample2 Target1, e.g.: ",Shape,Red,0.223334337,0.280733723,0.903123852,0.697638503,4.12E-02
"Sample2 Target2, e.g.: ",Shape,Circle,0.942299988,-0.25672857,0.206686037,0.173535321,0.627165359
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
                            IRAP 2012 Update Program,,,,,,,
"  Conceptualised, Designed and Software Written by Dermot Barnes-Holmes",,,,,,,
                   Additions to the 2012 version by Ian Hussey,,,,,,,
                         IRAP Data Summary File,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
IRAP Paramenter Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,107,,,,,,
,,,,,,,
Sample Stimuli Were Words,,,,,,,
Target Stimuli Were Words,,,,,,,
The Practice and Testing IRAP was Selected,,,,,,,
The Inconsistent-First Sequence was Selected,,,,,,,
Number of Test Blocks Selected was: ,6,,,,,,
Minimum Percent Correct Practice Criterion was: ,80,,,,,,
Maximum Median Latency Practice Criterion was: ,2000,,,,,,
Maximum Number of Training or Practice Exposures was: ,4,,,,,,
No Response Latency Feedback,,,,,,,
The Trial Type Parameter was Selected,,,,,,,
Maximum Run of Same Trial Type was,6,,,,,,
Position of Response Options was Set to Moving,,,,,,,
Maximum Run of Response Options in Same Position was: ,3,,,,,,
The consistent responding rule was: ,Colours are colours and shapes are shapes,,,,,,
The inconsistent responding rule was: ,Colours are shapes and shapes are colours,,,,,,
The Latency Feedback Message presented to participants was: ,Too Slow!,,,,,,
Latency Feedback Delay was: ,2000,,,,,,
,,,,,,,
The Stimuli used were: ,,,,,,,
Sample 1,Sample 2,Target 1,Target 2,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
,,,,,,,
Output Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,107,,,,,,
,,,,,,,
Accuracies and latencies on each block,,,,,,,
,Percent correct (%),Median Latencies (ms),,,,,
Final consistent practice block: ,100,1482,,,,,
Final inconsistent practice block: ,100,1763,,,,,
First consistent test block: ,96,1482,,,,,
First inconsistent test block: ,100,1599,,,,,
Second consistent test block: ,100,1467,,,,,
Second inconsistent test block: ,92,2020,,,,,
Third consistent test block: ,100,1490,,,,,
Third inconsistent test block: ,92,1552,,,,,
,,,,,,,
,,,,,,,
Dscores,,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,0.508111614,1.209453854,1.388244076,0.760344061,1.11934733
"Sample1 Target2, e.g.: ",Colour,Circle,0.848976333,-0.409617752,0.973046086,0.273674678,0.279034337
"Sample2 Target1, e.g.: ",Shape,Red,1.111304111,-0.554902882,-0.176636452,0.172382328,-0.186385669
"Sample2 Target2, e.g.: ",Shape,Circle,0.467208505,-0.111466401,0.666299383,0.698391278,0.41774142
,,,,,,,
Dscores for Odd trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-1.93E-02,1.437361912,1.343594215,0.938944419,1.239966849
"Sample1 Target2, e.g.: ",Colour,Red,1.527838734,-0.424665128,0.546334805,0.922183147,0.347950941
"Sample2 Target1, e.g.: ",Shape,Red,1.191880622,-0.77533034,0.751678518,1.167558991,-0.422728693
"Sample2 Target2, e.g.: ",Shape,Red,0.263376176,-0.881179003,4.03E-02,-0.427303666,0.38130239
,,,,,,,
Dscores for Even trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,1.11259648,0.947630573,1.473533405,0.435720292,0.952294757
"Sample1 Target2, e.g.: ",Colour,Circle,0.650112845,-0.390645036,1.670556952,-0.297961316,0.327316867
"Sample2 Target1, e.g.: ",Shape,Red,1.097616579,1.212578883,0.573833232,0.292375837,0.045051501
"Sample2 Target2, e.g.: ",Shape,Circle,0.606813049,3.59E-02,-0.227272229,0.326513262,0.692929317
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
                            IRAP 2012 Update Program,,,,,,,
"  Conceptualised, Designed and Software Written by Dermot Barnes-Holmes",,,,,,,
                   Additions to the 2012 version by Ian Hussey,,,,,,,
                         IRAP Data Summary File,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
IRAP Paramenter Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,112,,,,,,
,,,,,,,
Sample Stimuli Were Words,,,,,,,
Target Stimuli Were Words,,,,,,,
The Practice and Testing IRAP was Selected,,,,,,,
The Consistent-First Sequence was Selected,,,,,,,
Number of Test Blocks Selected was: ,6,,,,,,
Minimum Percent Correct Practice Criterion was: ,80,,,,,,
Maximum Median Latency Practice Criterion was: ,2000,,,,,,
Maximum Number of Training or Practice Exposures was: ,4,,,,,,
No Response Latency Feedback,,,,,,,
The Trial Type Parameter was Selected,,,,,,,
Maximum Run of Same Trial Type was,6,,,,,,
Position of Response Options was Set to Moving,,,,,,,
Maximum Run of Response Options in Same Position was: ,3,,,,,,
The consistent responding rule was: ,Colours are colours and shapes are shapes,,,,,,
The inconsistent responding rule was: ,Colours are shapes and shapes are colours,,,,,,
The Latency Feedback Message presented to participants was: ,Too Slow!,,,,,,
Latency Feedback Delay was: ,2000,,,,,,
,,,,,,,
The Stimuli used were: ,,,,,,,
Sample 1,Sample 2,Target 1,Target 2,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
,,,,,,,
Output Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,112,,,,,,
,,,,,,,
Accuracies and latencies on each block,,,,,,,
,Percent correct (%),Median Latencies (ms),,,,,
Final consistent practice block: ,100,1419,,,,,
Final inconsistent practice block: ,100,1318,,,,,
First consistent test block: ,100,1240,,,,,
First inconsistent test block: ,96,1271,,,,,
Second consistent test block: ,96,1319,,,,,
Second inconsistent test block: ,100,1178,,,,,
Third consistent test block: ,92,1225,,,,,
Third inconsistent test block: ,100,1147,,,,,
,,,,,,,
,,,,,,,
Dscores,,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,1.867382735,0.604515109,0.286436232,-9.43E-02,0.265553852
"Sample1 Target2, e.g.: ",Colour,Circle,0.708800806,0.40345911,-0.945927122,0.466190566,-2.54E-02
"Sample2 Target1, e.g.: ",Shape,Red,-1.716947623,5.23E-02,-0.863274373,-0.230152247,-0.347037592
"Sample2 Target2, e.g.: ",Shape,Circle,-0.94739713,0.642795939,-1.258553924,-0.128740239,-0.248166075
,,,,,,,
Dscores for Odd trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,1.109493199,0.403099968,1.067081555,-0.710450751,0.253243591
"Sample1 Target2, e.g.: ",Colour,Circle,-0.159348539,0.700702569,-0.997918504,0.87280379,0.191862618
"Sample2 Target1, e.g.: ",Shape,Red,-3.532399155,0.905053821,-1.443170655,-1.345417661,-0.644747564
"Sample2 Target2, e.g.: ",Shape,Circle,-1.445708574,0.244408057,-1.174762543,-1.003888207,-0.627844832
,,,,,,,
Dscores for Even trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,7.429235975,0.826363532,0.226375298,1.354127795,0.802288875
"Sample1 Target2, e.g.: ",Colour,Circle,1.151942614,-0.609382945,-1.176383781,-8.76E-02,-0.62446456
"Sample2 Target1, e.g.: ",Shape,Red,1.042488735,0.602901869,-0.936141968,1.127153151,0.282719232
"Sample2 Target2, e.g.: ",Shape,Circle,-0.734654373,-0.153212262,-0.395459356,1.396829314,0.264637684
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
                            IRAP 2012 Update Program,,,,,,,
"  Conceptualised, Designed and Software Written by Dermot Barnes-Holmes",,,,,,,
                   Additions to the 2012 version by Ian Hussey,,,,,,,
                         IRAP Data Summary File,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
IRAP Paramenter Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,117,,,,,,
,,,,,,,
Sample Stimuli Were Words,,,,,,,
Target Stimuli Were Words,,,,,,,
The Practice and Testing IRAP was Selected,,,,,,,
The Inconsistent-First Sequence was Selected,,,,,,,
Number of Test Blocks Selected was: ,6,,,,,,
Minimum Percent Correct Practice Criterion was: ,80,,,,,,
Maximum Median Latency Practice Criterion was: ,2000,,,,,,
Maximum Number of Training or Practice Exposures was: ,4,,,,,,
No Response Latency Feedback,,,,,,,
The Trial Type Parameter was Selected,,,,,,,
Maximum Run of Same Trial Type was,6,,,,,,
Position of Response Options was Set to Moving,,,,,,,
Maximum Run of Response Options in Same Position was: ,3,,,,,,
The consistent responding rule was: ,Colours are colours and shapes are shapes,,,,,,
The inconsistent responding rule was: ,Colours are shapes and shapes are colours,,,,,,
The Latency Feedback Message presented to participants was: ,Too Slow!,,,,,,
Latency Feedback Delay was: ,2000,,,,,,
,,,,,,,
The Stimuli used were: ,,,,,,,
Sample 1,Sample 2,Target 1,Target 2,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
,,,,,,,
Output Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,117,,,,,,
,,,,,,,
Accuracies and latencies on each block,,,,,,,
,Percent correct (%),Median Latencies (ms),,,,,
Final consistent practice block: ,96,1746,,,,,
Final inconsistent practice block: ,92,1989,,,,,
First consistent test block: ,100,1989,,,,,
First inconsistent test block: ,92,1958,,,,,
Second consistent test block: ,100,1662,,,,,
Second inconsistent test block: ,100,2099,,,,,
Third consistent test block: ,100,1903,,,,,
Third inconsistent test block: ,100,2083,,,,,
,,,,,,,
,,,,,,,
Dscores,,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,2.09899579,0.51079524,-0.436272077,-5.02E-02,8.09E-03
"Sample1 Target2, e.g.: ",Colour,Circle,3.694241067,-0.751955485,0.584885308,0.480157717,0.104362513
"Sample2 Target1, e.g.: ",Shape,Red,2.183309495,0.394895794,-0.53792425,0.08302486,-2.00E-02
"Sample2 Target2, e.g.: ",Shape,Circle,4.174171041,3.57E-02,0.39555483,8.22E-02,0.171135972
,,,,,,,
Dscores for Odd trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,0.118819214,0.337600847,-0.944690314,-0.382893375,-0.329994281
"Sample1 Target2, e.g.: ",Colour,Red,4.37865018,-1.089665538,1.36210631,1.59645905,0.622966607
"Sample2 Target1, e.g.: ",Shape,Red,2.763317152,-0.353667417,-0.306398526,1.55E-02,0.297916861
"Sample2 Target2, e.g.: ",Shape,Red,3.23271933,0.232631453,-0.630116337,1.291235467,-0.214870437
,,,,,,,
Dscores for Even trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,3.428746194,0.648121284,1.430968178,0.926265288,1.001784917
"Sample1 Target2, e.g.: ",Colour,Circle,2.661718235,-0.462110801,0.176434573,-0.499042789,-0.261573006
"Sample2 Target1, e.g.: ",Shape,Red,1.639139602,0.984938725,1.082001931,0.191243825,-0.455056827
"Sample2 Target2, e.g.: ",Shape,Circle,4.971725926,0.521607887,-1.324708928,-0.562069438,0.75272816
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
                            IRAP 2012 Update Program,,,,,,,
"  Conceptualised, Designed and Software Written by Dermot Barnes-Holmes",,,,,,,
                   Additions to the 2012 version by Ian Hussey,,,,,,,
                         IRAP Data Summary File,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
IRAP Paramenter Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,12,,,,,,
,,,,,,,
Sample Stimuli Were Words,,,,,,,
Target Stimuli Were Words,,,,,,,
The Practice and Testing IRAP was Selected,,,,,,,
The Consistent-First Sequence was Selected,,,,,,,
Number of Test Blocks Selected was: ,6,,,,,,
Minimum Percent Correct Practice Criterion was: ,80,,,,,,
Maximum Median Latency Practice Criterion was: ,2000,,,,,,
Maximum Number of Training or Practice Exposures was: ,4,,,,,,
No Response Latency Feedback,,,,,,,
The Trial Type Parameter was Selected,,,,,,,
Maximum Run of Same Trial Type was,6,,,,,,
Position of Response Options was Set to Moving,,,,,,,
Maximum Run of Response Options in Same Position was: ,3,,,,,,
The consistent responding rule was: ,Colours are colours and shapes are shapes,,,,,,
The inconsistent responding rule was: ,Colours are shapes and shapes are colours,,,,,,
The Latency Feedback Message presented to participants was: ,Too Slow!,,,,,,
Latency Feedback Delay was: ,2000,,,,,,
,,,,,,,
The Stimuli used were: ,,,,,,,
Sample 1,Sample 2,Target 1,Target 2,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
,,,,,,,
Output Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,12,,,,,,
,,,,,,,
Accuracies and latencies on each block,,,,,,,
,Percent correct (%),Median Latencies (ms),,,,,
Final consistent practice block: ,92,1045,,,,,
Final inconsistent practice block: ,96,1077,,,,,
First consistent test block: ,96,1030,,,,,
First inconsistent test block: ,92,1053,,,,,
Second consistent test block: ,100,991,,,,,
Second inconsistent test block: ,100,1006,,,,,
Third consistent test block: ,100,968,,,,,
Third inconsistent test block: ,100,1022,,,,,
,,,,,,,
,,,,,,,
Dscores,,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-1.143401763,0.571498255,0.919141384,0.808541095,0.766393578
"Sample1 Target2, e.g.: ",Colour,Circle,-7.262978173,0.939289797,0.105113417,-0.929822844,3.82E-02
"Sample2 Target1, e.g.: ",Shape,Red,-4.099402643,-0.636625877,0.190576571,-0.408873626,-0.284974311
"Sample2 Target2, e.g.: ",Shape,Circle,-4.94820615,-0.309715978,0.495572941,0.583611269,0.25648941
,,,,,,,
Dscores for Odd trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-4.230006292,0.420234413,0.916202764,0.493963426,0.610133534
"Sample1 Target2, e.g.: ",Colour,Circle,-4.307026097,0.84535908,0.53926418,-1.185039121,6.65E-02
"Sample2 Target1, e.g.: ",Shape,Red,-4.695823057,-0.698083926,0.646621091,0.16829184,-0.46184283
"Sample2 Target2, e.g.: ",Shape,Circle,-4.162019795,-1.051366709,0.606508163,-0.940669944,3.89E-02
,,,,,,,
Dscores for Even trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-6.16E-02,0.804852515,0.840372095,1.271272378,0.972165663
"Sample1 Target2, e.g.: ",Colour,Circle,-9.909733673,1.027639443,-0.177266779,-1.106646613,-8.54E-02
"Sample2 Target1, e.g.: ",Shape,Red,-3.789542853,0.664798537,0.235383588,0.903805748,0.175240865
"Sample2 Target2, e.g.: ",Shape,Circle,-8.799834308,0.39808529,-0.371073473,0.498710779,0.601329291
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
                            IRAP 2012 Update Program,,,,,,,
"  Conceptualised, Designed and Software Written by Dermot Barnes-Holmes",,,,,,,
                   Additions to the 2012 version by Ian Hussey,,,,,,,
                         IRAP Data Summary File,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
IRAP Paramenter Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,122,,,,,,
,,,,,,,
Sample Stimuli Were Words,,,,,,,
Target Stimuli Were Words,,,,,,,
The Practice and Testing IRAP was Selected,,,,,,,
The Consistent-First Sequence was Selected,,,,,,,
Number of Test Blocks Selected was: ,6,,,,,,
Minimum Percent Correct Practice Criterion was: ,80,,,,,,
Maximum Median Latency Practice Criterion was: ,2000,,,,,,
Maximum Number of Training or Practice Exposures was: ,4,,,,,,
No Response Latency Feedback,,,,,,,
The Trial Type Parameter was Selected,,,,,,,
Maximum Run of Same Trial Type was,6,,,,,,
Position of Response Options was Set to Moving,,,,,,,
Maximum Run of Response Options in Same Position was: ,3,,,,,,
The consistent responding rule was: ,Colours are colours and shapes are shapes,,,,,,
The inconsistent responding rule was: ,Colours are shapes and shapes are colours,,,,,,
The Latency Feedback Message presented to participants was: ,Too Slow!,,,,,,
Latency Feedback Delay was: ,2000,,,,,,
,,,,,,,
The Stimuli used were: ,,,,,,,
Sample 1,Sample 2,Target 1,Target 2,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
Colour,Shape,Red,Circle,,,,
Colour,Shape,Blue,Square,,,,
Colour,Shape,Green,Triangle,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
,,,,,,,
Output Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,122,,,,,,
,,,,,,,
Accuracies and latencies on each block,,,,,,,
,Percent correct (%),Median Latencies (ms),,,,,
Final consistent practice block: ,100,1943,,,,,
Final inconsistent practice block: ,92,1685,,,,,
First consistent test block: ,100,1303,,,,,
First inconsistent test block: ,100,1513,,,,,
Second consistent test block: ,100,1217,,,,,
Second inconsistent test block: ,88,1419,,,,,
Third consistent test block: ,100,1263,,,,,
Third inconsistent test block: ,100,1365,,,,,
,,,,,,,
,,,,,,,
Dscores,,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-1.1652318,1.265775401,0.744958171,0.397819035,0.802850869
"Sample1 Target2, e.g.: ",Colour,Circle,-0.274783325,0.76486974,0.570879586,0.695154388,0.676967905
"Sample2 Target1, e.g.: ",Shape,Red,0.571209622,1.378060594,0.303043902,1.005485733,0.895530076
"Sample2 Target2, e.g.: ",Shape,Circle,-0.165227276,0.517554641,0.80069594,0.428601699,0.582284093
,,,,,,,
Dscores for Odd trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-1.371787024,1.017086851,1.174768623,0.137547926,0.7764678
"Sample1 Target2, e.g.: ",Colour,Circle,0.318696387,0.622335026,-0.574695851,0.829886594,0.29250859
"Sample2 Target1, e.g.: ",Shape,Red,0.243966761,0.46144957,0.664139001,0.448651,1.015753596
"Sample2 Target2, e.g.: ",Shape,Circle,-1.088314464,1.001555899,0.988544172,1.057160719,0.524746524
,,,,,,,
Dscores for Even trials (to calculate split-half reliability),,,,,,,
,,,Final Practice Block,First test block Dscores,Second test block Dscores,Third test block Dscores,Mean Dscores (Test Blocks Only)
"Sample1 Target1, e.g.: ",Colour,Red,-1.117613685,1.414791016,0.956827358,0.904118123,1.091912166
"Sample1 Target2, e.g.: ",Colour,Circle,-0.823096573,0.931531198,1.641423517,0.564621224,1.045858646
"Sample2 Target1, e.g.: ",Shape,Red,0.750126374,0.982495483,0.908859399,0.366033318,0.732042355
"Sample2 Target2, e.g.: ",Shape,Circle,0.435105188,1.705505903,-0.422726895,0.913348058,0.752462733
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
                            IRAP 2012 Update Program,,,,,,,
"  Conceptualised, Designed and Software Written by Dermot Barnes-Holmes",,,,,,,
                   Additions to the 2012 version by Ian Hussey,,,,,,,
                         IRAP Data Summary File,,,,,,,
,,,,,,,
,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
***********************************************************************,,,,,,,
,,,,,,,
IRAP Paramenter Summary,,,,,,,
,,,,,,,
Participant Name or Code: ,123,,,,,,
,,,,,,,
Sample Stimuli Were Words,,,,,,,
Target Stimuli Were Words,,,,,,,
The Practice and Testing IRAP was Selected,,,,,,,
The Inconsistent-First Sequence was Selected,,,,,,,
Number of Test Blocks Selected was: ,6,,,,,,
Minimum Percent Correct Practice Criterion was: ,80,,,,,,
Maximum Median Latency Practice Criterion was: ,2000,,,,,,
Maximum Number of Training or Practice Exposures was: ,4,,,,,,
No Response Latency Feedback,,,,,,,
The Trial Type Parameter was Selected,,,,,,,
